l_proj_short,year_samp,c_sp_fao,l_sex_short,v_fl,v_wt
IOTTP,2009,BET,M,123,40
IOTTP,2009,YFT,M,144,59.15
IOTTP,2009,YFT,F,122.5,38.2
IOTTP,2009,YFT,F,131,41
IOTTP,2009,YFT,F,123,42.65
IOTTP,2009,YFT,F,121,37.25
IOTTP,2009,SKJ,M,53,3.4
IOTTP,2009,SKJ,,61,5.2
IOTTP,2009,BET,M,110,31
IOTTP,2009,YFT,M,143,57.55
IOTTP,2009,YFT,F,127,41.9
IOTTP,2009,YFT,F,129,41.25
IOTTP,2009,YFT,F,128,37.85
IOTTP,2009,YFT,M,146,64.6
IOTTP,2009,YFT,M,141,54.9
IOTTP,2009,YFT,F,140,48.8
IOTTP,2009,YFT,F,152,76.2
IOTTP,2009,YFT,M,139,55.3
IOTTP,2010,YFT,F,112,25.5
IOTTP,2010,YFT,F,117,33.75
IOTTP,2010,YFT,M,120,36
IOTTP,2010,YFT,F,135,47.35
IOTTP,2010,BET,F,118,38
IOTTP,2010,BET,M,116,38
IOTTP,2010,YFT,M,128,50.5
IOTTP,2010,YFT,F,123,40
IOTTP,2010,YFT,F,122,36.5
IOTTP,2010,YFT,M,140,56.6
IOTTP,2010,YFT,M,143,56.8
IOTTP,2010,BET,F,116.5,40
IOTTP,2010,YFT,M,136.5,58
IOTTP,2010,YFT,M,138,57.5
IOTTP,2010,YFT,M,147,66
IOTTP,2010,YFT,M,143,62
IOTTP,2010,SKJ,M,58,4.45
IOTTP,2010,YFT,F,131,48
IOTTP,2010,YFT,M,144,68
IOTTP,2010,BET,F,129,54
IOTTP,2010,BET,M,128,52
IOTTP,2010,BET,F,121,42
IOTTP,2010,YFT,F,141,55
IOTTP,2010,YFT,M,140,55
IOTTP,2010,BET,M,125,45
IOTTP,2010,YFT,M,138,54
IOTTP,2010,YFT,F,126.5,40
IOTTP,2010,YFT,F,126.3,40.4
IOTTP,2010,YFT,M,144,61.5
IOTTP,2010,YFT,M,150,68
IOTTP,2010,YFT,F,131,45
IOTTP,2010,YFT,M,146,67.5
IOTTP,2010,BET,M,118,37
IOTTP,2010,BET,F,124,44
IOTTP,2010,YFT,M,144,59.05
IOTTP,2010,YFT,M,146,62
IOTTP,2010,YFT,M,152,70.5
IOTTP,2010,BET,M,128,55.45
IOTTP,2010,YFT,M,144,61.75
IOTTP,2010,YFT,F,138,46.6
IOTTP,2010,YFT,F,143,56
IOTTP,2010,YFT,F,128,43.65
IOTTP,2011,YFT,M,141,61.15
IOTTP,2011,YFT,F,135,49.2
IOTTP,2011,YFT,M,141,59.75
IOTTP,2011,YFT,M,147,71
IOTTP,2011,YFT,F,142,56.9
IOTTP,2011,BET,M,140,67.2
IOTTP,2011,YFT,M,133,43.95
IOTTP,2011,YFT,M,149.5,63.5
IOTTP,2011,BET,M,139,64.65
IOTTP,2011,BET,M,139,62.7
IOTTP,2011,YFT,F,133,48.9
IOTTP,2011,YFT,F,137,51.2
IOTTP,2011,BET,F,135,57.05
IOTTP,2011,YFT,M,157,72.9
IOTTP,2011,BET,M,127,46.6
IOTTP,2011,BET,M,145,71.6
IOTTP,2011,YFT,M,130,45.7
IOTTP,2011,BET,M,141,66.1
IOTTP,2011,YFT,F,135,58.05
IOTTP,2011,BET,F,130,47
IOTTP,2011,BET,F,125,50.35
IOTTP,2011,YFT,F,134,51.75
IOTTP,2011,BET,M,140,56.45
IOTTP,2011,BET,M,141,66.15
IOTTP,2011,BET,F,125,44.95
IOTTP,2011,YFT,M,148,70.05
IOTTP,2011,BET,F,126,50.9
IOTTP,2011,BET,M,137,58.75
IOTTP,2011,YFT,M,159,83.2
IOTTP,2011,YFT,M,150,70.4
IOTTP,2011,BET,M,139,60.25
IOTTP,2011,BET,M,135,56
IOTTP,2011,YFT,M,145,66.9
IOTTP,2011,BET,M,148,75.95
IOTTP,2011,YFT,M,152,75.35
IOTTP,2011,BET,F,142,73
IOTTP,2011,BET,F,124.5,39.15
IOTTP,2011,BET,F,130.2,51.7
IOTTP,2011,BET,M,157.5,81.4
IOTTP,2011,YFT,F,139,55.9
IOTTP,2011,YFT,F,143,58.8
IOTTP,2011,BET,F,129,49.8
IOTTP,2011,BET,F,131,49.05
IOTTP,2011,YFT,M,149,74.75
IOTTP,2011,YFT,M,152,77.15
IOTTP,2011,YFT,M,152,74.1
IOTTP,2011,BET,F,149,76.1
IOTTP,2011,BET,M,150,77.05
IOTTP,2011,BET,M,152,77
IOTTP,2011,BET,F,131.2,54
IOTTP,2011,YFT,M,143.2,69.5
IOTTP,2011,YFT,M,161,94
IOTTP,2012,YFT,M,144.9,58
IOTTP,2012,YFT,F,136.7,51.12
IOTTP,2012,BET,M,146.5,66
IOTTP,2012,BET,M,139.6,66
IOTTP,2012,YFT,F,143.6,60
IOTTP,2012,BET,F,140.7,62
IOTTP,2012,YFT,M,154,75.4
IOTTP,2012,YFT,F,143.2,57.64
IOTTP,2012,BET,M,151.5,82.26
IOTTP,2012,YFT,M,142,64
IOTTP,2012,BET,M,146,73
IOTTP,2012,BET,F,137,65
IOTTP,2012,YFT,M,149.5,67.89
IOTTP,2012,YFT,F,147.1,60.95
IOTTP,2012,YFT,F,141.9,54
IOTTP,2012,BET,M,145.2,72
IOTTP,2012,YFT,M,153,74
IOTTP,2012,YFT,M,152.5,72.05
IOTTP,2012,YFT,M,156.5,75.93
IOTTP,2012,BET,F,127,46.09
IOTTP,2012,BET,F,130,51.42
IOTTP,2012,YFT,M,149,69.9
IOTTP,2012,BET,M,142.2,70
IOTTP,2012,YFT,M,153,66.78
IOTTP,2012,YFT,M,156,76.84
IOTTP,2012,BET,F,149.5,82
IOTTP,2012,BET,M,137,56.23
IOTTP,2012,BET,M,146,70.14
IOTTP,2012,BET,F,151,75.3
IOTTP,2012,BET,F,133,55.24
IOTTP,2012,YFT,M,151.2,77
IOTTP,2012,BET,F,152.5,76
IOTTP,2012,BET,M,154,84
IOTTP,2012,BET,M,144.7,75
IOTTP,2012,BET,F,140,58.05
IOTTP,2012,BET,M,150,75.7
IOTTP,2012,BET,M,161,93.89
IOTTP,2012,BET,M,157,89.65
IOTTP,2012,BET,M,138,56.49
IOTTP,2012,BET,M,143,70.61
IOTTP,2012,YFT,F,144.5,67
IOTTP,2012,YFT,M,148.9,72
IOTTP,2012,YFT,M,150.2,73
IOTTP,2012,YFT,F,130.9,53
IOTTP,2012,BET,F,134,53
IOTTP,2012,YFT,M,152,74.92
IOTTP,2012,BET,M,150,75.5
IOTTP,2012,BET,F,128,48.22
IOTTP,2012,YFT,F,135.5,50
IOTTP,2012,YFT,M,157,91
IOTTP,2012,YFT,M,152,75.25
IOTTP,2012,YFT,M,152,74.85
IOTTP,2012,BET,M,145.2,74
IOTTP,2012,YFT,M,157.7,80
IOTTP,2012,YFT,M,151,79.64
IOTTP,2013,BET,M,150,84
IOTTP,2013,YFT,F,145.2,62.7
IOTTP,2013,BET,F,146.8,71.3
IOTTP,2013,BET,F,141,73.3
IOTTP,2013,BET,M,160.8,93.9
IOTTP,2014,BET,F,147.5,67.44
IOTTP,2014,YFT,F,149.5,67.1
IOTTP,2014,BET,F,146.1,75
IOTTP,2014,YFT,M,161.5,79.6
IOTTP,2014,YFT,M,154.5,70.7
IOTTP,2014,YFT,M,157.3,70.3
IOTTP,2014,BET,F,149,71
IOTTP,2014,BET,F,156.5,81.8
IOTTP,2014,BET,F,153.5,78.9
IOTTP,2014,BET,F,146.5,72.7
IOTTP,2014,BET,F,174,116.2
IOTTP,2014,BET,F,145.8,72.44
IOTTP,2015,YFT,M,165.2,90.1
IOTTP,2015,YFT,M,150.6,73.16
IOTTP,2015,BET,M,160,94.73
IOTTP,2015,BET,M,164,107.3
IOTTP,2015,YFT,M,162,99.78
IOTTP,2015,BET,M,169,112.77
